Títulos Públicos Federais,...2,...3,...4,...5,...6,...7,...8,...9,...10,07/Ago/2025
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papel PREFIXADO,NA,LTN - Taxa (% a.a.)/252,NA,NA,NA,NA,NA,NA,NA,NA
Código SELIC,Data Base/Emissão,Data de Vencimento,Tx. Compra,Tx. Venda,Tx. Indicativas,PU,Intervalo Indicativo,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Mínimo (D0),Máximo (D0),Mínimo (D+1),Máximo (D+1)
100000,45114,45931,14.904999999999999,14.8767,14.8909,978.74618099999998,14.805899999999999,15.045199999999999,14.805999999999999,15.0466
100000,43867,46023,14.8559,14.839399999999999,14.847300000000001,944.98914500000001,14.743399999999999,15.075799999999999,14.7364,15.065099999999999
100000,45296,46113,14.7805,14.7616,14.772,914.23773700000004,14.5761,15.1236,14.5588,15.1028
100000,44932,46204,14.6488,14.6343,14.6409,885.15275599999995,14.3489,15.061400000000001,14.3188,15.0298
100000,45478,46296,14.363200000000001,14.345000000000001,14.3536,856.97164399999997,14.0009,14.780200000000001,13.9551,14.732799999999999
100000,45667,46478,13.884600000000001,13.8711,13.878500000000001,808.57858999999996,13.485799999999999,14.4056,13.4222,14.3413
100000,45114,46569,13.6823,13.6622,13.67,785.43811000000005,13.264200000000001,14.2217,13.202400000000001,14.1595
100000,45842,46661,13.5565,13.5421,13.552199999999999,761.59452799999997,13.1334,14.117800000000001,13.076599999999999,14.060600000000001
100000,45296,46753,13.4001,13.380599999999999,13.390700000000001,740.29359399999998,12.9816,13.987299999999999,12.9053,13.9107
100000,45478,46935,13.295999999999999,13.2782,13.2887,697.71165599999995,12.8847,13.9034,12.7989,13.817600000000001
100000,44603,47119,13.3565,13.3431,13.3507,654.95327499999996,12.9663,13.972300000000001,12.8698,13.875999999999999
100000,45842,47300,13.4217,13.408300000000001,13.414999999999999,614.43683399999998,13.0505,14.028499999999999,12.950900000000001,13.9291
100000,45296,47484,13.488099999999999,13.474399999999999,13.4824,575.74832800000001,13.135199999999999,14.105600000000001,13.0304,14.0007
100000,45667,48214,13.7159,13.702999999999999,13.7103,441.39744000000002,13.3612,14.351599999999999,13.2485,14.238899999999999
Quando uma taxa for interpolada será apresentada em negrito.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
