Títulos Públicos Federais,...2,...3,...4,...5,...6,...7,...8,...9,...10,07/Ago/2025
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papel IGP-M,NA,NTN-C - Taxa (% a.a.)/252,NA,NA,NA,NA,NA,NA,NA,NA
Código SELIC,Data Base/Emissão,Data de Vencimento,Tx. Compra,Tx. Venda,Tx. Indicativas,PU,Intervalo Indicativo,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,Mínimo (D0),Máximo (D0),Mínimo (D+1),Máximo (D+1)
770100,36708,47849,7.2145999999999999,6.9935999999999998,7.1288,7819.6232490000002,6.6966999999999999,7.6352000000000002,6.6966000000000001,7.6336000000000004
Quando uma taxa for interpolada será apresentada em negrito.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Os preços unitários são calculados a partir da projeção para o IGP-M apurada pelo Comitê de Acompanhamento Macroeconômico da ANBIMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"para o mês, à exceção do dia seguinte à divulgação do IGP-M final, caso em que é utilizado o próprio índice do mês corrente, divulgado pela FGV .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Projeção IGP-M para Agosto:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Média apurada pelo Comitê de Acompanhamento Macroeconômico da ANBIMA:  0,21%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
