Ativo,Vct,AjusteD_1,AjusteD0,Variacao,AjPorContrato
DAP   - Cupom de DI x IPCA,Q25,99751.38,99752.32,0.9400000000000001,1.72
DAP   - Cupom de DI x IPCA,U25,98424.43,98440.56,16.130000000000003,29.56
DAP   - Cupom de DI x IPCA,V25,97770.95,97776.73,5.78,10.59
DAP   - Cupom de DI x IPCA,X25,96913.95999999999,96907.95,-6.01,11.01
DAP   - Cupom de DI x IPCA,Z25,96176.43999999999,96148.52,-27.919999999999998,51.18
DAP   - Cupom de DI x IPCA,F26,95568.57,95525.09,-43.48,79.7
DAP   - Cupom de DI x IPCA,Q26,90585.98999999999,90601.83,15.84,29.03
DAP   - Cupom de DI x IPCA,F27,87854.38,87878.85,24.47,44.849999999999994
DAP   - Cupom de DI x IPCA,K27,86099.75,86164.43999999999,64.69,118.58
DAP   - Cupom de DI x IPCA,Q28,78857,79015.22,158.22,290.03
DAP   - Cupom de DI x IPCA,K29,75253.66,75468.69,215.03,394.17
DAP   - Cupom de DI x IPCA,Q30,68780.57,69076.82,296.25,543.05
DAP   - Cupom de DI x IPCA,Q32,59649.729999999996,60032.01,382.28,700.75
DAP   - Cupom de DI x IPCA,K33,56869.759999999995,57253.28999999999,383.53,703.05
DAP   - Cupom de DI x IPCA,K35,49993.5,50373.57,380.07,696.7
DAP   - Cupom de DI x IPCA,Q40,35172.49,35537.89,365.4,669.81
DAP   - Cupom de DI x IPCA,K45,25313.74,25717.68,403.94,740.4599999999999
DAP   - Cupom de DI x IPCA,Q50,18059.1,18344.309999999998,285.21,522.81
DAP   - Cupom de DI x IPCA,K55,13196.630000000001,13434.2,237.57,435.48999999999995
DAP   - Cupom de DI x IPCA,Q60,9161.98,9362.61,200.63,367.77
