Ativo,Vct,AjusteD_1,AjusteD0,Variacao,AjPorContrato
DI1   - DI de 1 dia,U25,99067.1,99067.17000000001,0.07,0.07
DI1   - DI de 1 dia,V25,97871.66,97871.84,0.18,0.18
DI1   - DI de 1 dia,X25,96636.97,96637.65000000001,0.6799999999999999,0.6799999999999999
DI1   - DI de 1 dia,Z25,95629.73999999999,95630.32,0.58,0.58
DI1   - DI de 1 dia,F26,94479.84,94482.2,2.36,2.36
DI1   - DI de 1 dia,G26,93398.78,93403.93999999999,5.159999999999999,5.159999999999999
DI1   - DI de 1 dia,H26,92487.51,92491.03,3.52,3.52
DI1   - DI de 1 dia,J26,91391.34,91400.45,9.11,9.11
DI1   - DI de 1 dia,K26,90412.58,90427.8,15.219999999999999,15.219999999999999
DI1   - DI de 1 dia,M26,89465.52,89478.90999999999,13.39,13.39
DI1   - DI de 1 dia,N26,88490.39,88511.07,20.68,20.68
DI1   - DI de 1 dia,Q26,87448.39,87475.29,26.9,26.9
DI1   - DI de 1 dia,U26,86530.35,86562.28,31.93,31.93
DI1   - DI de 1 dia,V26,85638.77,85676.98999999999,38.220000000000006,38.220000000000006
DI1   - DI de 1 dia,Z26,84002.19,84057.12000000001,54.93,54.93
DI1   - DI de 1 dia,F27,83129.29,83184.12000000001,54.83,54.83
DI1   - DI de 1 dia,J27,80795.02,80866.57,71.55,71.55
DI1   - DI de 1 dia,N27,78466.3,78543.81,77.51,77.51
DI1   - DI de 1 dia,Q27,77663.98999999999,77745.65000000001,81.66,81.66
DI1   - DI de 1 dia,V27,76108.62000000001,76198.56,89.94000000000001,89.94000000000001
DI1   - DI de 1 dia,F28,73932.72,74046.08,113.36,113.36
DI1   - DI de 1 dia,J28,71761.4,71893.27,131.87,131.87
DI1   - DI de 1 dia,N28,69651.92,69799.07,147.15,147.15
DI1   - DI de 1 dia,V28,67453.98999999999,67620.62000000001,166.63,166.63
DI1   - DI de 1 dia,F29,65468.97,65655,186.03,186.03
DI1   - DI de 1 dia,J29,63482.340000000004,63682.02,199.68,199.68
DI1   - DI de 1 dia,N29,61438.46,61643.219999999994,204.76,204.76
DI1   - DI de 1 dia,V29,59452.850000000006,59672.9,220.05,220.05
DI1   - DI de 1 dia,F30,57582.99,57813.28999999999,230.3,230.3
DI1   - DI de 1 dia,J30,55790.350000000006,56032.86,242.51,242.51
DI1   - DI de 1 dia,N30,54027.5,54277.37,249.87,249.87
DI1   - DI de 1 dia,V30,52186.42,52440.96,254.54,254.54
DI1   - DI de 1 dia,F31,50472.42,50740.350000000006,267.92999999999995,267.92999999999995
DI1   - DI de 1 dia,F32,44209.119999999995,44485.48,276.36,276.36
DI1   - DI de 1 dia,F33,38825.11,39083.5,258.39,258.39
DI1   - DI de 1 dia,F34,34164.49,34430.53,266.04,266.04
DI1   - DI de 1 dia,F35,30092.55,30344.73,252.18,252.18
DI1   - DI de 1 dia,F36,26557.18,26815.71,258.53,258.53
DI1   - DI de 1 dia,F37,23461.629999999997,23712.49,250.86,250.86
DI1   - DI de 1 dia,F38,20732.82,20974.06,241.23999999999998,241.23999999999998
DI1   - DI de 1 dia,F39,18353.87,18584.93,231.06,231.06
DI1   - DI de 1 dia,F40,16223.88,16443.58,219.7,219.7
